item,basis,hours,eur
Webinar,12/yr x 1 presenter x 1h (45+15),36,1227
Podcast,24/yr x 3 hosts x 1h,216,7364
Reels,48/yr x 0.5h editing (shared),24,818
Publishing/admin,2h/month,24,818
Events,4/yr: 4h organising + 3h x 2 attending,40,1364
Labour subtotal,34.09 EUR/h,340,11591
Instagram sponsorship,200 EUR/month,,2400
Domain sai.wiki,annual,,90
TOTAL,,340,14081

Cost per contact @ 50 reg/webinar,,,31.29
Cost per contact @ 100 reg/webinar,,,15.65
Cost per contact @ 200 reg/webinar,,,7.82
